,카테고리,위도,경도
293,보안등,37.561747911,126.8148494023
294,보안등,37.5620636769,126.81448394450001
295,보안등,37.5617879906,126.8143236822
296,보안등,37.561934576700004,126.81391936819999
297,보안등,37.561711253,126.8142264223
298,보안등,37.5613607326,126.813976481
299,보안등,37.561665910900004,126.8136407017
300,보안등,37.561665910900004,126.8136407017
301,보안등,37.5618718394,126.8137301692
302,보안등,37.5619556068,126.81354298229999
303,보안등,37.5619556068,126.81354298229999
304,보안등,37.561948979899995,126.8137398241
305,보안등,37.562202574299995,126.8140029101
306,보안등,37.562267465,126.81435848459999
307,보안등,37.5622439222,126.81451337799999
308,보안등,37.5624817302,126.81447849370001
309,보안등,37.5626392648,126.81438970629999
310,보안등,37.562775436,126.8143520177
311,보안등,37.562775436,126.8143520177
312,보안등,37.5630066597,126.8142554634
313,보안등,37.563135166799995,126.8147301811
314,보안등,37.563203922199996,126.8153113286
315,보안등,37.5631971235,126.8154578067
316,보안등,37.563088815,126.8159715932
317,보안등,37.5632031473,126.8162003982
318,보안등,37.5632031473,126.8162003982
319,보안등,37.563401842,126.81592747319999
320,보안등,37.5631886058,126.8155998748
321,보안등,37.5633701124,126.8153987501
322,보안등,37.5633717446,126.81505998280001
323,보안등,37.5633824847,126.8149566181
324,보안등,37.5634199605,126.8147232506
325,보안등,37.5635136148,126.81503665540001
326,보안등,37.563641742,126.81486780530001
327,보안등,37.5637277456,126.8150138284
328,보안등,37.5640029216,126.8150215238
329,보안등,37.5641050268,126.8150358724
330,보안등,37.5641622533,126.8152745541
331,보안등,37.5642459563,126.8154477492
332,보안등,37.5642459563,126.8154477492
333,보안등,37.564024452,126.81565304940001
334,보안등,37.5639266094,126.81565657290001
335,보안등,37.5641688896,126.8157736898
336,보안등,37.5643453829,126.81593952639999
337,보안등,37.5644625919,126.8159327863
338,보안등,37.5643080556,126.8156340144
339,보안등,37.564389995999996,126.8160640352
340,보안등,37.5640729697,126.8160857541
341,보안등,37.564053318,126.814868711
342,보안등,37.5638635707,126.8148701992
